key_ID,village,interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food,instanceID
1,God,2016-11-17T00:00:00Z,3,4,muddaub,1,,,1,bicycle;television;solar_panel;table,2,Jan,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
1,God,2016-11-17T00:00:00Z,7,9,muddaub,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Sept;Oct;Nov;Dec,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
3,God,2016-11-17T00:00:00Z,10,15,burntbricks,1,,,1,solar_torch,2,Jan;Feb;Mar;Oct;Nov;Dec,uuid:193d7daf-9582-409b-bf09-027dd36f9007
4,God,2016-11-17T00:00:00Z,7,6,burntbricks,1,,,2,bicycle;radio;cow_plough;solar_panel;mobile_phone,2,Sept;Oct;Nov;Dec,uuid:148d1105-778a-4755-aa71-281eadd4a973
5,God,2016-11-17T00:00:00Z,7,40,burntbricks,1,,,4,motorcyle;radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov,uuid:2c867811-9696-4966-9866-f35c3e97d02d
6,God,2016-11-17T00:00:00Z,3,3,muddaub,1,,,1,,2,Aug;Sept;Oct,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
7,God,2016-11-17T00:00:00Z,6,38,muddaub,1,no,never,1,motorcyle;cow_plough,3,Nov,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
11,God,2016-11-21T00:00:00Z,6,20,sunbricks,1,,,2,radio;cow_plough,2,Oct;Nov,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
12,God,2016-11-21T00:00:00Z,7,20,burntbricks,3,yes,never,2,cow_cart;bicycle;radio;cow_plough;table,3,Sept;Oct,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
13,God,2016-11-21T00:00:00Z,6,8,burntbricks,1,no,never,3,bicycle;radio;cow_plough;mobile_phone,2,Sept;Oct;Nov,uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918
14,God,2016-11-21T00:00:00Z,10,20,burntbricks,3,,,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,June;July;Aug;Sept;Oct;Nov,uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d
15,God,2016-11-21T00:00:00Z,5,30,sunbricks,2,yes,once,3,bicycle;radio;cow_plough;solar_panel;table,2,Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov,uuid:a837e545-ff86-4a1c-a1a5-6186804b985f
16,God,2016-11-24T00:00:00Z,6,47,muddaub,1,,,4,radio;cow_plough;solar_panel;solar_torch,3,Jan;Feb,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
17,God,2016-11-21T00:00:00Z,8,20,sunbricks,1,,,1,mobile_phone,2,Nov;Dec,uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b
18,God,2016-11-21T00:00:00Z,4,20,muddaub,1,,,3,bicycle;mobile_phone,2,Oct;Nov,uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3
19,God,2016-11-21T00:00:00Z,9,23,burntbricks,2,,,2,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Oct;Nov;Dec,uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d
20,God,2016-11-21T00:00:00Z,6,1,burntbricks,1,,,1,bicycle;cow_plough;solar_torch,2,Oct;Nov,uuid:d1005274-bf52-4e79-8380-3350dd7c2bac
21,God,2016-11-21T00:00:00Z,8,20,burntbricks,1,no,never,3,,2,Jan;Feb;Mar;Oct;Nov;Dec,uuid:6570a7d0-6a0b-452c-aa2e-922500e35749
22,God,2016-11-21T00:00:00Z,4,20,muddaub,1,,,1,radio,2,Jan;Feb;Mar;Apr;Aug;Sept;Oct;Nov;Dec,uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9
38,God,2016-11-17T00:00:00Z,10,19,muddaub,1,yes,never,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Nov,uuid:81309594-ff58-4dc1-83a7-72af5952ee08
39,God,2016-11-17T00:00:00Z,6,22,muddaub,1,,,1,,3,Nov,uuid:c0fb6310-55af-4831-ae3d-2729556c3285
40,God,2016-11-17T00:00:00Z,9,23,burntbricks,1,yes,never,1,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Sept;Oct;Nov,uuid:c0b34854-eede-4e81-b183-ef58a45bfc34
41,God,2016-11-17T00:00:00Z,7,22,muddaub,1,,,2,motorcyle;bicycle;radio;cow_plough;table,3,Oct;Nov,uuid:b3ba34d8-eea1-453d-bc73-c141bcbbc5e5
42,God,2016-11-17T00:00:00Z,8,8,sunbricks,1,no,never,3,mobile_phone,3,Jan;Nov;Dec,uuid:e3a1dd8a-1bda-428c-a014-2b527f11ae64
155,God,2016-11-24T00:00:00Z,4,4,burntbricks,1,,,1,electricity,2,Jan;Sept;Oct;Nov;Dec,uuid:77b3021b-a9d6-4276-aaeb-5bfcfd413852
