key_ID,village,interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food,instanceID
23,Ruaca,2016-11-21T00:00:00Z,10,20,burntbricks,4,,,3,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone,3,none,uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de
24,Ruaca,2016-11-21T00:00:00Z,6,4,burntbricks,2,no,never,3,radio;table;sofa_set;mobile_phone,2,Nov;Dec,uuid:661457d3-7e61-45e8-a238-7415e7548f82
25,Ruaca,2016-11-21T00:00:00Z,11,6,burntbricks,3,no,never,2,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,2,Jan;Feb;Oct,uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee
26,Ruaca,2016-11-21T00:00:00Z,3,20,burntbricks,2,no,never,2,radio;cow_plough;table;mobile_phone,2,none,uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e
27,Ruaca,2016-11-21T00:00:00Z,7,36,burntbricks,2,,,3,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d
28,Ruaca,2016-11-21T00:00:00Z,2,2,muddaub,1,no,more_once,1,,3,Aug;Sept;Oct,uuid:1de53318-a8cf-4736-99b1-8239f8822473
29,Ruaca,2016-11-21T00:00:00Z,7,10,burntbricks,2,yes,frequently,1,motorcyle;bicycle;radio;table;mobile_phone,3,Jan;Feb,uuid:adcd7463-8943-4c67-b25f-f72311409476
30,Ruaca,2016-11-21T00:00:00Z,7,22,muddaub,2,,,1,bicycle;radio;mobile_phone,2,Jan;Feb,uuid:59341ead-92be-45a9-8545-6edf9f94fdc6
31,Ruaca,2016-11-21T00:00:00Z,3,2,muddaub,1,,,1,,3,none,uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8
32,Ruaca,2016-11-21T00:00:00Z,19,69,muddaub,2,yes,more_once,5,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone,2,none,uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf
33,Ruaca,2016-11-21T00:00:00Z,8,34,muddaub,1,no,more_once,2,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone,2,none,uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758
71,Ruaca,2016-11-18T00:00:00Z,6,14,burntbricks,1,yes,more_once,3,radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov,uuid:761f9c49-ec93-4932-ba4c-cc7b78dfcef1
133,Ruaca,2016-11-23T00:00:00Z,5,25,burntbricks,2,no,never,5,cow_cart;car;lorry;motorcyle;bicycle;television;sterio;cow_plough;solar_panel;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,Jan;Oct;Nov,uuid:429d279a-a519-4dcc-9f64-4673b0fd5d53
152,Ruaca,2016-11-24T00:00:00Z,10,16,burntbricks,1,yes,once,3,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;mobile_phone,3,none,uuid:59738c17-1cda-49ee-a563-acd76f6bc487
