,Farm,plot_no,plot_area,crop_no,crop_name
0,1,1,0.5,1,maize
1,1,2,0.5,1,maize
2,1,1,1.0,1,maize
5,3,1,1.0,1,maize
6,4,1,1.0,1,maize
7,4,2,1.0,1,maize
9,5,1,1.5,1,maize
10,5,2,0.5,1,maize
11,6,1,1.5,1,maize
12,7,1,2.0,1,maize
16,8,1,1.0,1,maize
17,8,2,2.0,1,maize
18,9,1,1.5,1,maize
21,10,1,3.0,1,maize
23,11,1,1.0,1,maize
24,11,2,1.0,1,maize
25,12,1,3.5,1,maize
27,13,1,12.0,1,maize
31,14,1,1.0,1,maize
32,14,2,1.0,1,maize
33,14,3,1.0,1,maize
34,15,1,15.0,1,maize
37,16,1,3.5,1,maize
38,17,1,1.0,1,maize
41,18,1,1.0,1,maize
43,19,1,5.5,1,maize
45,20,1,1.5,1,maize
47,21,1,1.0,1,maize
51,22,1,3.0,1,maize
52,23,1,10.0,1,maize
54,24,1,2.0,1,maize
57,25,1,6.0,1,maize
60,26,1,5.0,1,maize
62,27,1,4.0,1,maize
64,28,1,1.0,1,maize
67,29,1,1.5,1,maize
70,30,1,5.0,1,maize
71,31,1,1.0,1,maize
72,32,1,10.0,1,maize
80,33,1,4.0,1,maize
83,34,2,1.5,1,maize
85,35,2,4.0,1,maize
86,36,1,1.0,1,maize
89,37,1,1.0,1,maize
90,38,1,0.5,1,maize
92,39,1,7.0,1,maize
93,40,1,4.0,1,maize
95,41,1,5.0,1,maize
96,42,1,0.5,1,maize
98,43,1,5.0,1,maize
104,44,1,1.5,1,maize
105,45,1,1.5,1,maize
108,46,1,2.0,1,maize
113,47,1,2.5,1,maize
115,48,1,3.5,1,maize
117,49,1,3.0,1,maize
119,50,1,0.5,1,maize
122,51,1,1.0,1,maize
123,52,1,2.0,1,maize
124,21,1,5.0,1,maize
129,21,3,1.0,1,maize
130,54,1,1.0,1,maize
132,55,1,9.0,1,maize
133,56,1,5.5,1,maize
135,57,1,1.0,1,maize
139,58,3,10.0,1,maize
140,59,1,0.5,1,maize
142,59,2,1.0,1,maize
143,60,1,2.0,1,maize
151,61,2,6.0,1,maize
152,62,1,0.5,1,maize
154,63,1,1.5,1,maize
156,64,1,2.0,1,maize
158,65,1,2.0,1,maize
164,67,1,6.0,1,maize
167,68,1,1.5,1,maize
169,68,3,2.0,1,maize
170,69,1,3.0,1,maize
172,70,1,8.0,1,maize
174,70,2,14.0,1,maize
175,70,3,0.2,1,maize
176,71,1,4.0,1,maize
178,127,1,1.0,1,maize
179,133,1,8.0,1,maize
182,152,1,12.0,1,maize
187,153,1,1.0,1,maize
188,155,1,2.0,1,maize
190,178,1,4.0,1,maize
193,178,3,2.0,1,maize
197,177,2,4.8,1,maize
198,180,1,6.0,1,maize
201,181,1,3.0,1,maize
204,182,1,5.0,1,maize
209,186,1,2.0,1,maize
216,187,2,2.0,1,maize
217,195,1,2.0,1,maize
220,196,1,6.0,1,maize
223,197,1,6.5,1,maize
227,198,1,2.0,1,maize
229,201,1,6.0,1,maize
230,201,2,2.0,1,maize
231,202,1,3.0,1,maize
233,72,1,2.0,1,maize
234,72,2,3.0,1,maize
237,73,2,3.0,1,maize
239,76,1,6.0,1,maize
245,83,1,5.0,1,maize
246,83,2,0.5,1,maize
248,85,1,1.0,1,maize
252,89,1,1.5,1,maize
253,89,2,3.0,1,maize
257,101,1,4.0,1,maize
260,103,1,12.5,1,maize
266,102,1,5.0,1,maize
269,78,1,12.0,1,maize
270,78,2,1.0,1,maize
274,80,1,3.0,1,maize
279,104,1,5.0,1,maize
288,105,1,3.0,1,maize
293,106,3,4.0,1,maize
296,109,1,5.0,1,maize
299,110,1,6.0,1,maize
300,110,2,5.0,1,maize
301,110,3,3.0,1,maize
302,113,1,1.0,1,maize
306,118,1,3.0,1,maize
307,125,1,1.0,1,maize
313,119,1,2.0,1,maize
315,119,2,0.5,1,maize
316,115,1,8.0,1,maize
317,115,2,3.0,1,maize
318,108,1,2.0,1,maize
320,108,2,2.0,1,maize
322,116,1,5.0,1,maize
323,117,1,12.0,1,maize
324,144,1,6.0,1,maize
326,143,1,4.0,1,maize
327,143,2,4.0,1,maize
331,150,1,2.0,1,maize
333,159,1,2.5,1,maize
335,160,1,2.0,1,maize
338,165,1,1.0,1,maize
341,166,2,1.0,1,maize
342,166,3,2.0,1,maize
343,167,1,1.5,1,maize
345,174,1,7.0,1,maize
348,175,1,2.0,1,maize
351,189,1,7.0,1,maize
355,191,2,5.0,1,maize
357,192,2,0.5,1,maize
359,126,1,4.5,1,maize
363,193,1,3.0,1,maize
366,193,4,1.5,1,maize
367,194,1,5.0,1,maize
369,199,1,5.0,1,maize
371,200,1,0.5,1,maize
372,200,2,4.5,1,maize
